trip_id,date,day_of_week,is_weekend,time_period,scheduled_time,actual_time,route_id,vehicle_id,stage_id,delay_minutes,on_time,cancelled,occupancy_level,weather,incident_type,fare_kes,passenger_rating
TRP01967,08/02/2025,Saturday,Yes,Morning Peak (7-9Am),08:42:00,08:45:00,12,81,6,3,No,No,Full (80-100%),Clear,None,249.00,4.0
TRP01683,23/03/2025,Sunday,Yes,Night (7-10Pm),19:38:00,19:49:00,5,10,1,11,No,No,,Clear,Traffic Jam,70.00,1.4
TRP03225,01/05/2025,Thursday,No,Night (7-10Pm),21:07:00,21:07:00,10,91,8,0,Yes,No,,Clear,None,70.00,4.8
TRP00113,16/03/2025,Sunday,Yes,Early Morning (5-7Am),05:12:00,05:09:00,4,42,8,-3,Yes,No,Low (<50%),Clear,None,80.00,2.2
TRP01173,10/01/2025,Friday,No,Morning Peak (7-9Am),08:31:00,08:33:00,10,18,2,2,No,No,Moderate (50-80%),Clear,None,84.00,4.7
TRP00902,07/04/2025,Monday,No,Midday (9Am-4Pm),13:16:00,13:24:00,4,7,6,8,No,No,Low (<50%),Clear,Traffic Jam,80.00,1.1
TRP00230,05/07/2025,Saturday,Yes,Night (7-10Pm),20:09:00,20:08:00,6,99,3,-1,Yes,No,Moderate (50-80%),Light Rain,None,114.00,3.6
TRP03463,18/03/2025,Tuesday,No,Night (7-10Pm),21:15:00,21:13:00,7,110,3,-2,Yes,No,Moderate (50-80%),Light Rain,None,160.00,2.1
TRP02308,08/04/2025,Monday,No,Morning Peak (7-9Am),07:13:00,07:21:00,5,4,7,8,No,No,Overloaded (>100%),Heavy Rain,None,112.00,3.0
TRP02267,27/03/2025,Thursday,No,Evening Peak (4-7Pm),17:17:00,17:25:00,8,16,8,8,No,No,,Clear,Police Checkpoint,88.00,1.5
TRP02763,14/06/2025,Saturday,Yes,Evening Peak (4-7Pm),16:36:00,16:44:00,5,96,3,8,No,No,Overloaded (>100%),Clear,Police Checkpoint,80.00,4.1
TRP01606,16/02/2025,Sunday,Yes,Evening Peak (4-7Pm),17:09:00,17:25:00,1,110,8,16,No,No,Overloaded (>100%),Heavy Rain,None,158.00,2.1
TRP01999,14/08/2025,Thursday,No,Midday (9Am-4Pm),09:00:00,08:58:00,2,110,,-2,Yes,No,Moderate (50-80%),,None,100.00,5.0
TRP03263,26/07/2025,Saturday,Yes,Midday (9Am-4Pm),13:23:00,13:33:00,3,46,1,10,No,No,Full (80-100%),Clear,Overloading Delay,120.00,1.0
TRP00488,19/07/2025,Saturday,Yes,Morning Peak (7-9Am),07:40:00,07:36:00,5,42,11,-4,Yes,No,Full (80-100%),Clear,None,95.00,
TRP01972,08/08/2025,Friday,No,Midday (9Am-4Pm),14:57:00,14:59:00,6,92,4,2,No,No,Full (80-100%),Overcast,None,100.00,3.6
TRP02036,22/01/2025,Wednesday,No,Early Morning (5-7Am),06:41:00,06:38:00,6,62,7,-3,Yes,No,Full (80-100%),Clear,None,100.00,3.1
TRP01339,25/01/2025,Saturday,Yes,Midday (9Am-4Pm),13:37:00,13:33:00,7,33,8,-4,Yes,No,Moderate (50-80%),Light Rain,None,161.00,4.4
TRP03004,17/02/2025,Monday,No,Night (7-10Pm),19:10:00,19:18:00,4,60,4,8,No,No,Low (<50%),,Overloading Delay,80.00,3.6
TRP01089,29/06/2025,Sunday,Yes,Night (7-10Pm),19:46:00,19:54:00,10,18,10,8,No,No,Low (<50%),Clear,Traffic Jam,70.00,1.1
TRP01380,03/04/2025,Thursday,No,Morning Peak (7-9Am),08:56:00,09:00:00,8,44,3,4,No,No,Full (80-100%),Overcast,Overloading Delay,85.00,3.9
TRP02912,05/03/2025,Wednesday,No,Morning Peak (7-9Am),07:20:00,07:33:00,2,109,3,13,No,No,Moderate (50-80%),Clear,Road Construction,118.00,2.0
TRP00996,06/04/2025,Sunday,Yes,Midday (9Am-4Pm),11:30:00,11:31:00,10,37,10,1,No,No,Low (<50%),Light Rain,Road Construction,88.00,3.6
TRP01308,22/08/2025,Friday,No,Morning Peak (7-9Am),07:06:00,07:19:00,12,102,10,13,No,No,Full (80-100%),Clear,None,223.00,1.8
TRP00452,20/02/2025,Thursday,No,Night (7-10Pm),21:06:00,21:31:00,8,35,3,25,No,No,Low (<50%),Clear,Vehicle Breakdown,60.00,3.3
TRP03104,22/05/2025,Thursday,No,Night (7-10Pm),19:04:00,19:04:00,1,59,8,0,Yes,No,Moderate (50-80%),Clear,Police Checkpoint,100.00,3.3
TRP01733,23/05/2025,Friday,No,Midday (9Am-4Pm),10:00:00,10:05:00,2,8,4,5,No,No,Low (<50%),Clear,Traffic Jam,90.00,2.2
TRP00511,31/05/2025,Saturday,Yes,Midday (9Am-4Pm),10:42:00,10:42:00,6,78,1,0,Yes,No,Full (80-100%),Clear,Police Checkpoint,100.00,3.6
TRP01622,15/08/2025,Friday,No,Evening Peak (4-7Pm),17:33:00,17:44:00,5,41,4,11,No,No,Full (80-100%),Clear,Road Construction,97.00,
TRP02410,22/07/2025,Tuesday,No,Night (7-10Pm),19:54:00,19:56:00,12,54,10,2,No,No,Low (<50%),Clear,None,160.00,3.0
TRP02287,24/06/2025,Tuesday,No,Morning Peak (7-9Am),07:51:00,08:02:00,3,35,9,11,No,No,Low (<50%),Clear,Police Checkpoint,172.00,2.3
TRP02842,13/06/2025,Friday,No,Early Morning (5-7Am),06:35:00,06:40:00,11,35,4,5,No,No,Full (80-100%),Light Rain,Road Construction,142.00,2.5
TRP03209,11/02/2025,Tuesday,No,Early Morning (5-7Am),06:47:00,06:55:00,2,65,8,8,No,No,Low (<50%),Light Rain,Road Construction,102.00,3.1
TRP00239,04/01/2025,Saturday,Yes,Night (7-10Pm),20:59:00,20:59:00,2,11,10,0,Yes,No,Moderate (50-80%),Overcast,Road Accident Nearby,90.00,4.3
TRP02221,19/08/2025,Tuesday,No,Morning Peak (7-9Am),08:09:00,08:33:00,11,117,6,24,No,No,Moderate (50-80%),Clear,Vehicle Breakdown,,2.8
TRP02954,11/08/2025,Monday,No,Midday (9Am-4Pm),09:05:00,09:04:00,5,41,9,-1,Yes,No,Full (80-100%),Overcast,None,70.00,3.8
TRP00798,04/07/2025,Friday,No,Early Morning (5-7Am),05:56:00,06:12:00,12,72,1,16,No,No,Overloaded (>100%),Clear,Road Accident Nearby,160.00,3.7
TRP01902,18/03/2025,Tuesday,No,Night (7-10Pm),21:57:00,21:57:00,10,30,5,0,Yes,No,Full (80-100%),Clear,Overloading Delay,70.00,
TRP03082,28/01/2025,Tuesday,No,Midday (9Am-4Pm),12:43:00,12:40:00,4,119,8,-3,Yes,No,Full (80-100%),Clear,Overloading Delay,80.00,4.2
TRP02565,24/03/2025,Monday,No,Early Morning (5-7Am),05:42:00,05:51:00,5,13,5,9,No,No,Low (<50%),Clear,Traffic Jam,70.00,2.7
TRP02042,14/05/2025,Wednesday,No,Early Morning (5-7Am),05:31:00,05:29:00,11,87,3,-2,Yes,No,Low (<50%),Clear,None,110.00,4.2
TRP02685,01/01/2025,Wednesday,No,Evening Peak (4-7Pm),18:24:00,18:33:00,9,19,8,9,No,No,Full (80-100%),Light Rain,None,148.00,
TRP00136,21/04/2025,Monday,No,Morning Peak (7-9Am),07:57:00,08:08:00,3,104,,11,No,No,Low (<50%),Overcast,Overloading Delay,172.00,2.0
TRP02315,21/08/2025,Thursday,No,Morning Peak (7-9Am),07:38:00,07:51:00,9,102,3,13,No,No,Moderate (50-80%),Heavy Rain,None,127.00,2.9
TRP02786,02/01/2025,Thursday,No,Night (7-10Pm),19:54:00,19:57:00,3,35,6,3,No,No,Moderate (50-80%),Clear,None,120.00,3.8
TRP02100,29/05/2025,Thursday,No,Morning Peak (7-9Am),07:26:00,07:47:00,10,26,6,21,No,No,Full (80-100%),Heavy Rain,Road Construction,130.00,2.7
TRP00934,05/08/2025,Tuesday,No,Evening Peak (4-7Pm),16:57:00,17:02:00,1,116,2,5,No,No,Overloaded (>100%),Light Rain,None,175.00,3.5
TRP00039,03/06/2025,Tuesday,No,Evening Peak (4-7Pm),17:12:00,17:24:00,6,16,4,12,No,No,Low (<50%),Clear,Police Checkpoint,129.00,3.4
TRP00158,06/08/2025,Wednesday,No,Morning Peak (7-9Am),08:02:00,08:02:00,2,44,6,0,Yes,No,Moderate (50-80%),Clear,None,125.00,2.7
TRP00666,15/01/2025,Wednesday,No,Early Morning (5-7Am),06:52:00,06:48:00,7,35,1,-4,Yes,No,Full (80-100%),Clear,None,150.00,5.0
TRP02128,03/06/2025,Tuesday,No,Early Morning (5-7Am),05:47:00,05:51:00,2,82,9,4,No,No,Low (<50%),Clear,Road Construction,90.00,4.1
TRP01548,09/01/2025,Thursday,No,Night (7-10Pm),21:56:00,21:54:00,5,9,1,-2,Yes,No,Overloaded (>100%),Clear,None,70.00,3.6
TRP02470,06/02/2025,Thursday,No,Morning Peak (7-9Am),07:23:00,07:31:00,12,17,4,8,No,No,Full (80-100%),Clear,None,186.00,3.5
TRP03142,07/07/2025,Monday,No,Evening Peak (4-7Pm),18:20:00,18:44:00,12,22,5,24,No,No,Moderate (50-80%),Clear,Vehicle Breakdown,244.00,3.6
TRP01200,25/02/2025,Tuesday,No,Early Morning (5-7Am),05:58:00,05:53:00,6,30,11,-5,Yes,No,Moderate (50-80%),Clear,None,100.00,3.4
TRP01249,20/08/2025,Wednesday,No,Early Morning (5-7Am),06:29:00,06:44:00,2,102,5,15,No,No,Full (80-100%),Clear,Road Accident Nearby,90.00,
TRP01838,14/06/2025,Saturday,Yes,Evening Peak (4-7Pm),16:48:00,17:07:00,9,104,5,19,No,No,Moderate (50-80%),Overcast,Road Accident Nearby,120.00,1.4
TRP00749,09/07/2025,Wednesday,No,Midday (9Am-4Pm),14:40:00,14:35:00,5,80,5,-5,Yes,No,Full (80-100%),Clear,Police Checkpoint,70.00,3.9
TRP01479,02/05/2025,Friday,No,Midday (9Am-4Pm),09:39:00,09:41:00,8,33,4,2,No,No,Overloaded (>100%),Light Rain,None,65.00,3.4
TRP03112,07/04/2025,Monday,No,Evening Peak (4-7Pm),17:12:00,17:11:00,5,67,5,-1,Yes,No,Full (80-100%),Clear,None,98.00,3.3
TRP00403,08/08/2025,Friday,No,Morning Peak (7-9Am),07:21:00,07:35:00,4,85,7,14,No,No,  Moderate (50-80%)  ,Overcast,Road Construction,102.00,2.0
TRP00582,05/06/2025,Thursday,No,Evening Peak (4-7Pm),18:33:00,18:56:00,1,87,3,23,No,No,Low (<50%),Clear,Road Accident Nearby,119.00,4.0
TRP00166,11/05/2025,Sunday,Yes,Morning Peak (7-9Am),08:52:00,09:13:00,6,104,7,21,No,No,Overloaded (>100%),Heavy Rain,Police Checkpoint,150.00,4.3
TRP02270,11/06/2025,Wednesday,No,Midday (9Am-4Pm),12:07:00,12:05:00,1,88,6,-2,Yes,No,Moderate (50-80%),Clear,None,100.00,3.6
TRP02533,17/06/2025,Tuesday,No,Midday (9Am-4Pm),15:07:00,15:11:00,4,53,6,4,No,No,,Overcast,Road Accident Nearby,80.00,2.8
TRP00992,09/03/2025,Sunday,Yes,Evening Peak (4-7Pm),16:39:00,16:48:00,2,77,4,9,No,No,Full (80-100%),Light Rain,Road Construction,130.00,2.7
TRP03372,17/07/2025,Thursday,No,Morning Peak (7-9Am),08:55:00,09:10:00,3,1,8,15,No,No,Full (80-100%),Clear,None,137.00,3.3
TRP02015,27/06/2025,Friday,No,Night (7-10Pm),20:29:00,20:33:00,6,75,4,4,No,No,Full (80-100%),Overcast,None,100.00,4.2
TRP02529,18/08/2025,Monday,No,Morning Peak (7-9Am),07:25:00,07:32:00,8,3,3,7,No,No,,Clear,None,75.00,3.8
TRP00559,21/03/2025,Friday,No,Midday (9Am-4Pm),12:49:00,12:43:00,10,12,4,-6,Yes,No,Overloaded (>100%),Clear,None,70.00,2.9
   ,16/03/2025,Sunday,Yes,Early Morning (5-7Am),06:33:00,06:31:00,8,1,3,-2,Yes,No,Low (<50%),Light Rain,Overloading Delay,71.00,4.5
TRP02563,20/06/2025,Friday,No,Evening Peak (4-7Pm),17:34:00,17:28:00,6,39,1,-6,Yes,No,Moderate (50-80%),Clear,None,157.00,3.9
TRP01778,26/08/2025,Tuesday,No,Night (7-10Pm),20:34:00,20:45:00,3,37,1,11,No,No,Low (<50%),Clear,,,2.8
TRP01498,09/01/2025,Thursday,No,Morning Peak (7-9Am),08:42:00,08:57:00,10,16,8,15,No,No,Moderate (50-80%),Heavy Rain,Police Checkpoint,104.00,2.4
TRP00261,08/02/2025,Saturday,Yes,Midday (9Am-4Pm),13:57:00,14:14:00,4,2,7,17,No,No,Low (<50%),Heavy Rain,Police Checkpoint,103.00,3.3
TRP02975,24/04/2025,Thursday,No,Early Morning (5-7Am),06:50:00,06:55:00,7,84,3,5,No,No,Moderate (50-80%),Clear,Police Checkpoint,150.00,3.1
TRP02106,30/06/2025,Monday,No,Morning Peak (7-9Am),07:42:00,07:50:00,4,77,9,8,No,No,Moderate (50-80%),Clear,Overloading Delay,111.00,1.9
TRP03411,31/03/2025,Monday,No,Morning Peak (7-9Am),07:18:00,07:18:00,5,120,7,0,Yes,No,Low (<50%),Overcast,None,110.00,3.5
TRP01952,13/08/2025,Wednesday,No,Midday (9Am-4Pm),11:43:00,11:59:00,2,36,4,16,No,No,Low (<50%),Clear,Vehicle Breakdown,90.00,3.0
TRP00258,09/03/2025,Sunday,Yes,Midday (9Am-4Pm),14:41:00,14:40:00,9,51,11,-1,Yes,No,Low (<50%),Clear,None,80.00,4.0
TRP03351,13/05/2025,Tuesday,No,Night (7-10Pm),20:26:00,20:24:00,11,102,5,-2,Yes,No,Moderate (50-80%),Clear,None,110.00,
TRP02799,14/08/2025,Thursday,No,Evening Peak (4-7Pm),16:03:00,16:36:00,10,82,8,33,No,No,Overloaded (>100%),Heavy Rain,Traffic Jam,98.00,1.9
TRP00865,09/02/2025,Sunday,Yes,Night (7-10Pm),19:30:00,19:28:00,7,108,4,-2,Yes,No,Low (<50%),Light Rain,Overloading Delay,158.00,2.3
TRP00298,04/04/2025,Friday,No,Evening Peak (4-7Pm),18:32:00,18:35:00,8,27,3,3,No,No,Moderate (50-80%),,None,77.00,5.0
TRP03342,12/06/2025,Thursday,No,Early Morning (5-7Am),06:43:00,06:40:00,4,33,11,-3,Yes,No,Moderate (50-80%),Clear,None,80.00,4.4
TRP02624,18/01/2025,Saturday,Yes,Night (7-10Pm),21:12:00,21:06:00,12,9,6,-6,Yes,No,Full (80-100%),Clear,None,160.00,2.4
TRP01202,09/03/2025,Sunday,Yes,Midday (9Am-4Pm),13:10:00,13:12:00,12,94,7,2,No,No,Low (<50%),Clear,None,160.00,3.2
TRP02496,12/01/2025,Sunday,Yes,Morning Peak (7-9Am),08:41:00,08:50:00,2,29,9,9,No,No,Moderate (50-80%),Light Rain,Police Checkpoint,161.00,2.2
TRP00297,12/08/2025,Tuesday,No,Midday (9Am-4Pm),09:23:00,09:26:00,10,18,11,3,No,No,Moderate (50-80%),Clear,Road Construction,70.00,
TRP00185,21/04/2025,Monday,No,Morning Peak (7-9Am),08:53:00,08:58:00,6,20,3,5,No,No,,Clear,None,146.00,2.7
TRP00688,06/08/2025,Wednesday,No,Midday (9Am-4Pm),14:25:00,14:52:00,3,36,2,27,No,No,Moderate (50-80%),Clear,Vehicle Breakdown,120.00,3.7
TRP00355,15/06/2025,Sunday,Yes,Midday (9Am-4Pm),15:35:00,15:30:00,12,109,7,-5,Yes,No,  Moderate (50-80%)  ,Overcast,None,160.00,5.0
TRP00156,14/04/2025,Monday,No,Morning Peak (7-9Am),07:18:00,07:24:00,3,44,8,6,No,No,Full (80-100%),Overcast,Overloading Delay,162.00,3.3
TRP00047,15/02/2025,Saturday,Yes,Morning Peak (7-9Am),08:19:00,08:29:00,4,82,10,10,No,No,Full (80-100%),Heavy Rain,None,134.00,3.6
TRP00759,28/02/2025,Friday,No,Evening Peak (4-7Pm),17:35:00,17:45:00,2,54,5,10,No,No,Full (80-100%),Clear,Traffic Jam,127.00,4.0
TRP00698,10/01/2025,Friday,No,Midday (9Am-4Pm),13:51:00,13:50:00,1,25,5,-1,Yes,No,Overloaded (>100%),Clear,Traffic Jam,100.00,5.0
TRP02393,07/02/2025,Friday,No,Morning Peak (7-9Am),08:15:00,08:24:00,10,88,8,9,No,No,Moderate (50-80%),Light Rain,Police Checkpoint,95.00,3.1
TRP03303,05/07/2025,Saturday,Yes,Midday (9Am-4Pm),12:05:00,12:06:00,9,98,2,1,No,No,,Heavy Rain,Police Checkpoint,84.00,1.9
   ,10/05/2025,Saturday,Yes,Midday (9Am-4Pm),11:15:00,11:09:00,6,12,7,-6,Yes,No,Full (80-100%),Clear,None,100.00,2.5
TRP02888,19/05/2025,Monday,No,Midday (9Am-4Pm),14:04:00,14:10:00,9,68,6,6,No,No,Full (80-100%),Heavy Rain,None,89.00,1.1
TRP00703,12/07/2025,Saturday,Yes,Midday (9Am-4Pm),09:10:00,09:13:00,10,51,1,3,No,No,Full (80-100%),Clear,Overloading Delay,70.00,3.2
TRP03385,07/06/2025,Saturday,Yes,Evening Peak (4-7Pm),16:49:00,16:59:00,11,38,1,10,No,No,Moderate (50-80%),Clear,Road Accident Nearby,162.00,2.9
TRP01005,14/05/2025,Wednesday,No,Morning Peak (7-9Am),07:54:00,07:57:00,4,50,7,3,No,No,Overloaded (>100%),Overcast,None,105.00,2.8
TRP02641,07/08/2025,Thursday,No,Evening Peak (4-7Pm),18:15:00,18:22:00,9,14,2,7,No,No,Moderate (50-80%),Light Rain,Police Checkpoint,139.00,3.0
TRP02323,21/06/2025,Saturday,Yes,Morning Peak (7-9Am),07:53:00,08:07:00,3,72,1,14,No,No,Overloaded (>100%),Clear,Traffic Jam,185.00,3.7
TRP01361,01/03/2025,Saturday,Yes,Morning Peak (7-9Am),08:37:00,08:44:00,3,86,6,7,No,No,Moderate (50-80%),Light Rain,Overloading Delay,195.00,1.6
TRP00341,20/01/2025,Monday,No,Night (7-10Pm),21:12:00,21:08:00,12,22,6,-4,Yes,No,Low (<50%),Clear,None,160.00,4.8
TRP03301,10/01/2025,Friday,No,Midday (9Am-4Pm),13:06:00,13:24:00,9,93,10,18,No,No,Full (80-100%),Clear,Vehicle Breakdown,80.00,2.1
TRP01002,15/05/2025,Thursday,No,Evening Peak (4-7Pm),17:10:00,17:17:00,3,53,6,7,No,No,,Clear,Overloading Delay,188.00,2.6
TRP02387,15/06/2025,Sunday,Yes,Evening Peak (4-7Pm),18:39:00,19:12:00,4,73,11,33,No,No,Overloaded (>100%),,Vehicle Breakdown,,2.0
TRP02478,26/08/2025,Tuesday,No,Evening Peak (4-7Pm),18:54:00,19:05:00,12,50,6,11,No,No,Full (80-100%),Clear,Road Construction,247.00,2.3
TRP01664,03/03/2025,Monday,No,Evening Peak (4-7Pm),17:24:00,17:37:00,1,4,3,13,No,No,Full (80-100%),Clear,Overloading Delay,136.00,2.7
TRP02367,01/01/2025,Wednesday,No,Midday (9Am-4Pm),15:47:00,15:59:00,5,13,4,12,No,No,Low (<50%),Heavy Rain,None,80.00,3.4
TRP00956,09/07/2025,Wednesday,No,Midday (9Am-4Pm),10:10:00,10:12:00,12,109,11,2,No,No,,Clear,None,160.00,2.4
TRP03480,28/08/2025,Thursday,No,Midday (9Am-4Pm),11:26:00,11:37:00,12,9,11,11,No,No,Moderate (50-80%),Clear,Overloading Delay,160.00,2.6
TRP02740,22/04/2025,Tuesday,No,Early Morning (5-7Am),05:38:00,06:04:00,7,37,5,26,No,No,Full (80-100%),Light Rain,Road Accident Nearby,158.00,3.9
TRP00793,21/06/2025,Saturday,Yes,Midday (9Am-4Pm),10:03:00,10:04:00,5,52,5,1,No,No,Low (<50%),Clear,Traffic Jam,70.00,3.1
TRP01000,02/04/2025,Wednesday,No,Midday (9Am-4Pm),14:27:00,14:40:00,4,87,10,13,No,No,Full (80-100%),Clear,Road Construction,80.00,2.5
TRP01576,08/01/2025,Wednesday,No,Midday (9Am-4Pm),09:57:00,10:20:00,8,99,1,23,No,No,Low (<50%),Clear,Vehicle Breakdown,60.00,3.3
TRP01936,09/05/2025,Friday,No,Morning Peak (7-9Am),08:53:00,08:53:00,5,15,9,0,Yes,No,Full (80-100%),Clear,None,97.00,3.1
TRP00251,25/06/2025,Wednesday,No,Early Morning (5-7Am),05:02:00,05:05:00,8,52,2,3,No,No,Low (<50%),,,64.00,3.2
TRP02680,07/05/2025,Wednesday,No,Night (7-10Pm),20:37:00,20:41:00,5,99,1,4,No,No,Low (<50%),Clear,Police Checkpoint,70.00,
TRP00549,29/01/2025,Wednesday,No,Evening Peak (4-7Pm),18:57:00,19:16:00,3,19,2,19,No,No,Full (80-100%),Clear,Road Accident Nearby,159.00,
TRP01412,03/04/2025,Thursday,No,Evening Peak (4-7Pm),18:41:00,18:57:00,10,60,1,16,No,No,Moderate (50-80%),Light Rain,Police Checkpoint,120.00,2.5
TRP01295,21/04/2025,Monday,No,Night (7-10Pm),21:25:00,21:39:00,6,63,4,14,No,No,Moderate (50-80%),Heavy Rain,Traffic Jam,124.00,1.8
TRP02243,22/06/2025,Sunday,Yes,Early Morning (5-7Am),06:51:00,06:57:00,9,48,2,6,No,No,Low (<50%),Clear,Traffic Jam,80.00,2.7
TRP03109,27/05/2025,Tuesday,No,Midday (9Am-4Pm),11:31:00,11:33:00,3,62,,2,No,No,Full (80-100%),Clear,Overloading Delay,120.00,
TRP01263,28/02/2025,Friday,No,Early Morning (5-7Am),06:25:00,06:34:00,9,30,8,9,No,No,,Light Rain,Traffic Jam,97.00,2.6
TRP03357,07/08/2025,Thursday,No,Morning Peak (7-9Am),07:33:00,07:56:00,2,31,8,23,No,No,Moderate (50-80%),Light Rain,Road Construction,162.00,2.2
TRP02633,03/07/2025,Thursday,No,Evening Peak (4-7Pm),17:42:00,18:08:00,1,73,10,26,No,No,Moderate (50-80%),Clear,Road Accident Nearby,137.00,2.1
TRP02450,27/03/2025,Thursday,No,Night (7-10Pm),20:22:00,20:54:00,8,66,7,32,No,No,Moderate (50-80%),Heavy Rain,Road Accident Nearby,,2.8
TRP02188,01/05/2025,Thursday,No,Evening Peak (4-7Pm),16:40:00,16:43:00,11,103,7,3,No,No,Moderate (50-80%),Clear,None,170.00,4.9
TRP00813,10/02/2025,Monday,No,Early Morning (5-7Am),06:37:00,06:37:00,8,33,5,0,Yes,No,Full (80-100%),Clear,Overloading Delay,60.00,3.2
